,Page_No.,Type_of_property,Place,Property_Name,Price_in_lakhs,Min_Area(sft),Max_Area(sft),Posted_Date,Posted_By,BHK,Baths
2151,87,Residential Apartment,"Raidurgam, Khajaguda Road, Gachibowli","Gayathri Hills Society, Prashanth Hills Colony",90.0,1235 ,1235 ,2021-06-26,Owner,2 ,2 
2152,87,Independent House,Old Malakpet,,280.0,3213 ,3213 ,2021-06-26,Owner,6 ,8 
2153,87,Independent House,Papireddy Nagar,,220.0,1440 ,1440 ,2021-06-26,Owner,9 ,8 
2154,87,Independent House,Bandlaguda,,350.0,2700 ,2700 ,2021-06-26,Owner,4 ,3 
2155,87,Residential land / Plot,Bhongir,HMDA SSVPD  Bloom Field Project,20.0,1494 ,1494 ,2021-06-26,Owner,0,0
2156,87,,Hyder Nagar,,150.0,945 ,945 ,2021-06-26,Owner,6 ,6 
2157,87,Residential land / Plot,Shad nagar,,12.0,1350 ,1350 ,2021-06-26,Owner,0,0
2158,87,Residential Apartment,"Padma Nagar Ring Cercle, Chintal",Pavan Residency,37.0,760 ,760 ,2021-06-26,Owner,2 ,2 
2159,87,Residential land / Plot,Shad nagar,,80.0,600 ,600 ,2021-06-26,Owner,0,0
2160,87,Independent House,near eeshwar theatre,attapur,340.0,2475 ,2475 ,2021-06-25,Owner,4 ,5 
2161,87,Residential Apartment,Hi-Tech City,NCC Urban Gardenia,403.0,4150 ,4150 ,2021-06-25,Dealer,4 ,5 
2162,87,,Hubsiguda,,60.0,1062 ,1062 ,2021-06-25,Owner,2 ,2 
2163,87,Residential land / Plot,medchal,,88.0,3600 ,3600 ,2021-06-25,Owner,0,0
2164,87,Residential land / Plot,Ramanthapur,,170.0,1800 ,1800 ,2021-06-25,Owner,0,0
2165,87,Independent House,Nagaram,,135.0,1665 ,1665 ,2021-06-25,Owner,3 ,3 
2166,87,Residential land / Plot,Kadthal,,16.8,1512 ,1512 ,2021-06-25,Owner,0,0
2167,87,,Siddhartha Nagar North,Srinivasa Towers,50.0,880 ,880 ,2021-06-25,Owner,2 ,2 
2168,87,Independent House,YousufGuda,,375.0,1350 ,1350 ,2021-06-25,Owner,9 ,8 
2169,87,Residential Apartment,"Bhumi Reddy Nagar, Quthbullapur",Padmavathi Enclave,64.0,1200 ,1200 ,2021-06-25,Owner,2 ,2 
2170,87,Independent House,Borabanda,Nrr Puram Colony,260.0,1872 ,1872 ,2021-06-24,Owner,7 ,7 
2171,87,Residential land / Plot,Rajapur,Rajapur,21.5,4950 ,4950 ,2021-06-24,Owner,0,0
2172,87,Residential Apartment,Saroornagar,Road no 14,65.0,1000 ,1000 ,2021-06-24,Owner,2 ,2 
2173,87,Independent House,Sivarampalli,,270.0,2250 ,2250 ,2021-06-24,Owner,4 ,2 
2174,87,Residential land / Plot,Godamkunta (7km from ECIL),Royal oak ,67.2,2880 ,2880 ,2021-06-24,Owner,0,0
2175,88,Residential land / Plot,"Vangapalli, Hyderabad",,21.0,1647 ,1647 ,2021-06-23,Owner,0,0
2176,88,Independent House,BHEL Enclave,,290.0,1800 ,1800 ,2021-06-23,Dealer,4 ,4 
2177,88,Residential Apartment,shapurnagar,cmr apartments,27.0,636 ,636 ,2021-06-23,Owner,1 ,0
2178,88,Independent House,"Shirdi sai colony, beeramguda",,105.0,1350 ,1350 ,2021-06-23,Owner,1 ,2 
2179,88,Residential land / Plot,Bhongir,,30.0,1800 ,1800 ,2021-06-23,Owner,0,0
2180,88,,Auto Nagar,,150.0,172 ,172 ,2021-06-23,Owner,0,0
2181,88,Residential Apartment,SRK Puram,Vaishnavi Pinnacle,0.0,1540 ,1540 ,2021-06-23,Owner,3 ,2 
2182,88,,Gold coast suchir india,,58.6,6660 ,6660 ,2021-06-23,Owner,0,0
2183,88,Residential land / Plot,Maheswaram,,18.38,2205 ,2205 ,2021-06-23,Owner,0,0
2184,88,Residential Apartment,Balaji Nagar,Modi Greenwood Residency,80.0,1665 ,1665 ,2021-06-23,Owner,3 ,3 
2185,88,Independent House,"RTC,X Road",Triveni Sangam,0.0,1350 ,1350 ,2021-06-23,Owner,2 ,4 
2186,88,Residential Apartment,Dhatu Nagar,Sita Arcade,55.0,1170 ,1170 ,2021-06-23,Owner,2 ,2 
2187,88,Independent House,Talab Katta,,67.0,275 ,275 ,2021-06-23,Owner,5 ,3 
2188,88,Independent House,iskabavi,Ameenpur ,175.0,1250 ,1250 ,2021-06-23,Owner,2 ,2 
2189,88,Residential Apartment,Shaikpet,Salarpuria Sattva Magnus,185.0,1865 ,1865 ,2021-06-22,Owner,3 ,3 
2190,88,Residential Apartment,Bachupally,Sukrithi saanvi,58.56,1220 ,1220 ,2021-06-22,Owner,2 ,2 
2191,88,Residential Apartment,Lakdi-Ka-Pool,Anushka Towers,85.0,1150 ,1150 ,2021-06-22,Owner,2 ,2 
2192,88,Residential Apartment,Gachibowli,Pacifica Hillcrest,92.0,1100 ,1100 ,2021-06-22,Owner,2 ,2 
2193,88,Residential land / Plot,Yacharam,,18.45,3375 ,3375 ,2021-06-22,Owner,0,0
2194,88,Independent House,Syed Ali Guda,,0.0,4500 ,4500 ,2021-06-22,Owner,6 ,4 
2195,88,Residential land / Plot,BHUVANAGIRI,Wild Stone,42.75,4275 ,4275 ,2021-06-22,Owner,0,0
2196,88,Residential land / Plot,Ankushapur,,55.0,1800 ,1800 ,2021-06-22,Owner,0,0
2197,88,Residential Apartment,Opp : Geetanjali Concept School,On Request,48.0,1250 ,1250 ,2021-06-22,Owner,2 ,2 
2198,88,,Ibrahimpatnam,ibmrahimpatanam NBR nagar,80.0,1080 ,1080 ,2021-06-21,Owner,2 ,2 
2199,88,Residential land / Plot,Near Raigir village,"Indraprastha Enclave, Yadagirigutta",20.0,1800 ,1800 ,2021-06-21,Owner,0,0
2200,89,Independent House,Balapur,Dream City,230.0,278 ,278 ,2021-06-21,Owner,2 ,4 
2201,89,Residential land / Plot,Maisamma Gudem,,55.0,1980 ,1980 ,2021-06-21,Owner,0,0
2202,89,Residential land / Plot,Shadnagar,Skandhanshi Aarambh,11.75,1320 ,1320 ,2021-06-21,Owner,0,0
2203,89,Independent House,Rallaguda,,90.0,1557 ,1557 ,2021-06-21,Owner,2 ,3 
2204,89,Independent House,Gautham Nagar,,170.0,2097 ,2097 ,2021-06-21,Owner,3 ,2 
2205,89,Residential land / Plot,Bangalore - Hyderabad Hwy,suvarna city,25.0,2250 ,2250 ,2021-06-21,Owner,0,0
2206,89,Residential land / Plot,Neredmet X Roads,,225.0,2160 ,2160 ,2021-06-21,Owner,0,0
2207,89,Residential Apartment,Manjeera Pipeline Road,Sri Kalki Heights,63.0,1145 ,1145 ,2021-06-21,Owner,2 ,2 
2208,89,Residential land / Plot,Shastipuram,,35.0,900 ,900 ,2021-06-21,Owner,0,0
2209,89,Residential Apartment,"Sri Sai Housing colony, Gowlidoddi",Green Bamboos,60.0,1130 ,1130 ,2021-06-21,Owner,2 ,2 
2210,89,Independent House,"ECIL, Nagaram, Rampally",,80.0,1710 ,1710 ,2021-06-21,Owner,2 ,3 
2211,89,Independent House,GANESHPURI COLONY,,170.0,1350 ,1350 ,2021-06-21,Owner,6 ,6 
2212,89,Residential land / Plot,yadadri,,12.5,165 ,165 ,2021-06-21,Owner,0,0
2213,89,Residential land / Plot,vitaipally srisailam highway,Padmasri Township,4.5,900 ,900 ,2021-06-21,Owner,0,0
2214,89,Independent House,Sindhi Colony,,425.0,6000 ,6000 ,2021-06-21,Owner,7 ,6 
2215,89,,Indresham,,50.0,1350 ,1350 ,2021-06-20,Owner,0,0
2216,89,Residential Apartment,Dilsukhnagar,Uma Apartments,47.0,850 ,850 ,2021-06-18,Owner,2 ,2 
2217,89,Residential land / Plot,Farooq Nagar Mandal,,30.0,1800 ,1800 ,2021-06-18,Owner,0,0
2218,89,Independent House,Maheshwaram,,350.0,4644 ,4644 ,2021-06-18,Owner,3 ,3 
2219,89,Residential Apartment,Saidabad,Annapurna Arcade,130.0,1745 ,1745 ,2021-06-18,Owner,3 ,3 
2220,89,Independent House,SRT colony,Sanathnagar,275.0,150 ,150 ,2021-06-18,Owner,9 ,9 
2221,89,Independent House,Badangpet,,160.0,151 ,151 ,2021-06-18,Owner,2 ,2 
2222,89,Residential land / Plot,Srisailam Highway,Fortune Butterfly City,70.0,6300 ,6300 ,2021-06-18,Owner,0,0
2223,89,Residential Apartment,Chhota Anjaiah Nagar,Gruha Siri Pride,127.0,1650 ,1650 ,2021-06-18,Owner,3 ,3 
2224,89,Residential Apartment,Nizampet Road,Maheswari Towes,57.0,1115 ,1115 ,2021-06-18,Owner,2 ,2 
2225,90,Residential land / Plot,Adibatla,Sri Sri Gruhanirman Aero Lights,85.0,1800 ,1800 ,2021-06-18,Owner,0,0
2226,90,Residential Apartment,Triveni Nagar,Hitech Residency,46.0,1100 ,1100 ,2021-06-18,Owner,2 ,2 
2227,90,Independent House,Secunderabad Railway Station,,90.0,495 ,495 ,2021-06-18,Owner,1 ,0
2228,90,Residential land / Plot,Rajeev Nagar,Residential Colony,375.0,2655 ,2655 ,2021-06-18,Owner,0,0
2229,90,Residential Apartment,Medipally,Tirumala Ashok Arcade,46.0,1053 ,1053 ,2021-06-18,Owner,2 ,2 
2230,90,Residential land / Plot,Suprabhat venture 2 and 3,,150.0,4392 ,4392 ,2021-06-18,Owner,0,0
2231,90,,laxmi reddy colony,,0.0,2340 ,2340 ,2021-06-18,Owner,2 ,2 
2232,90,Independent House,Barkas,Nabeel colony,0.0,900 ,900 ,2021-06-18,Owner,2 ,2 
2233,90,Residential Apartment,Mohan Nagar,Engineers Syndicate,33.12,475 ,475 ,2021-06-18,Owner,1 ,0
2234,90,Residential land / Plot,Lemoor Village,Subhagruha Sahiti II,40.0,1800 ,1800 ,2021-06-17,Owner,0,0
2235,90,Residential Apartment,Attapur Ring Road,G R Tower,80.0,1428 ,1428 ,2021-06-17,Owner,3 ,2 
2236,90,Residential Apartment,Dullapally,"The Lake View ONE,Dulapally",47.0,1175 ,1175 ,2021-06-17,Owner,2 ,2 
2237,90,Residential Apartment,SBI colony,Thipparthi Fort House Premium,48.0,938 ,938 ,2021-06-17,Owner,2 ,2 
2238,90,,Chanchalguda,KAFS Ibrahim Heights,40.0,1200 ,1200 ,2021-06-17,Owner,4 ,2 
2239,90,Residential Apartment,"BANDLAGUDA,SUNCITY","ROYAL LANDMARK ,BANDLAGUDA",52.0,1170 ,1170 ,2021-06-17,Owner,2 ,2 
2240,90,Residential Apartment,Upparpally,"Monika Castle, Upparpally,Hyderabad",0.0,1563 ,1563 ,2021-06-17,Owner,3 ,3 
2241,90,Residential Apartment,Chintal,Naveed Residency,68.0,1070 ,1070 ,2021-06-17,Owner,2 ,2 
2242,90,Residential Apartment,Chintal,Varsha Nivas,60.0,1020 ,1020 ,2021-06-17,Owner,2 ,2 
2243,90,Independent House,"Roshan Colony, Mailardevpally, Near Shastripuram",Roshan Colony,87.0,167 ,167 ,2021-06-17,Owner,4 ,2 
2244,90,Residential Apartment,Meerpet,GMRC Residency,49.0,999 ,999 ,2021-06-17,Owner,2 ,2 
2245,90,Residential Apartment,Isnapur,Vedamsa Skanda Srinivasam,55.0,1150 ,1150 ,2021-06-17,Owner,2 ,2 
2246,90,Independent House,Patelguda,,95.0,1350 ,1350 ,2021-06-17,Owner,2 ,2 
2247,90,Residential land / Plot,inmulnarva village,,5.5,900 ,900 ,2021-06-17,Owner,0,0
