,Property_Name,Property_Type,Area_in_Sft,Price,Page_No.,bhk,Posted_On
551,,2 Bedroom Independent House in Sun City,918 sq.ft. (85 sq.m.) Plot Area,"₹ 65 Lac₹ 7,081/sq.ft.",23,2 BHK2 Baths,Posted on Yesterday by Owner
552,,Residential land / Plot in Shamshabad,"43,560 sq.ft. (4047 sq.m.) Plot Area",₹ 85 Lac₹ 195/sq.ft.,23,,"Posted on 05th Aug, 2021 by Owner"
553,SMR Vinay Iconia,3 BHK Residential Apartment in Kondapur,"1,580-2,595 sq.ft. (147-241 sq.m.) Super built-up Area",Price on Request,23,3 BHK,"Posted on 15th Jul, 2021 by Builder"
554,SMR Vinay Iconia,2 BHK Residential Apartment in Kondapur,"1,360-1,535 sq.ft. (126-143 sq.m.) Super built-up Area",Price on Request,23,2 BHK2 Baths,"Posted on 15th Jul, 2021 by Builder"
555,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,503 sq.ft. (140 sq.m.) Plot Area","₹ 35 Lac₹ 2,329/sq.ft.",23,,Posted on Today by Owner
556,AVM VENTURES,2 BHK Residential Apartment in Manasanapalli,810 sq.ft. (75 sq.m.) Carpet Area,"₹ 20.25 Lac₹ 2,500/sq.ft.",23,2 BHK2 Baths,"Posted on 13th Jul, 2021 by Dealer"
557,shri hara,Residential land / Plot in Kadtal,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 26 Lac₹ 1,444/sq.ft.",23,,"Posted on 13th Jul, 2021 by Dealer"
558,DTCP and RERA  Approved Open Plots ,Residential land / Plot in Choutuppal,"1,800 sq.ft. (167 sq.m.) Plot Area",₹ 14 Lac₹ 778/sq.ft.,23,,"Posted on 08th Jul, 2021 by RERA Registered Dealer"
559,Amrutha Valley,3 BHK Residential Apartment in Bhola Nagar,"2,200 sq.ft. (204 sq.m.) Carpet Area","₹ 1.4 Cr₹ 6,363/sq.ft.",23,3 BHK3 Baths,"Posted on 28th Jul, 2021 by Dealer"
560,SREE GRUHA,2 BHK Residential Apartment in pedda golconda,1 sq.ft. (0 sq.m.) Carpet Area,"₹ 20.25 Lac₹ 2,025,000/sq.ft.",23,2 BHK2 Baths,"Posted on 04th Aug, 2021 by Dealer"
561,Ramky One Symphony,3 BHK Residential Apartment in Patancheru,"1,265 sq.ft. (118 sq.m.) Super built-up Area","₹ 64 Lac₹ 4,999/sq.ft.",23,3 BHK2 Baths,"Posted on 31st Jul, 2021 by RERA Registered Dealer"
562,,Residential land / Plot in Warangal highway,"2,178 sq.ft. (202 sq.m.) Plot Area",₹ 3.63 Lac₹ 167/sq.ft.,23,,"Posted on 24th Jul, 2021 by Dealer"
563,,Residential land / Plot in Injapur,"1,440 sq.ft. (134 sq.m.) Plot Area","₹ 60.8 Lac₹ 4,222/sq.ft.",23,,"Posted on 15th Jun, 2021 by Dealer"
564,Hirize Rich Park,3 BHK Residential Apartment in Kokapet,"1,587 sq.ft. (147 sq.m.) Super built-up Area","₹ 99 Lac₹ 5,900/sq.ft.",23,3 BHK3 Baths,"Posted on 09th Jul, 2021 by Dealer"
565,jubilee hills,4 Bedroom Independent House in jubilee hills,"3,150 sq.ft. (293 sq.m.) Plot Area","₹ 7.7 Cr₹ 24,444/sq.ft.",23,4 BHK4 Baths,"Posted on 15th Jun, 2021 by Dealer"
566,Jewel crest,3 BHK Residential Apartment in Shaikpet,"1,700 sq.ft. (158 sq.m.) Carpet Area","₹ 1.19 Cr₹ 6,999/sq.ft.",23,3 BHK3 Baths,"Posted on 28th Jul, 2021 by Dealer"
567,agriculture land,Residential land / Plot in Jadcherla,"43,560 sq.ft. (4047 sq.m.) Plot Area",₹ 42 Lac₹ 96/sq.ft.,23,,"Posted on 13th Jul, 2021 by Dealer"
568,Pyramid City,Residential land / Plot in Kadtal,"1,800 sq.ft. (167 sq.m.) Plot Area",₹ 13 Lac₹ 722/sq.ft.,23,,"Posted on 09th Jul, 2021 by Dealer"
569,on request,2 BHK Residential Apartment in Sun City,"1,280 sq.ft. (119 sq.m.) Carpet Area","₹ 71.68 Lac₹ 5,600/sq.ft.",23,2 BHK2 Baths,"Posted on 26th Jul, 2021 by Dealer"
570,indraprasta appartment,2 BHK Residential Apartment in Kukatpally,850 sq.ft. (79 sq.m.) Super built-up Area,"₹ 40 Lac₹ 4,705/sq.ft.",23,2 BHK2 Baths,"Posted on 03rd Aug, 2021 by Owner"
571,Prime LR Green Valley,Residential land / Plot in Medchal,"1,350-3,600 sq.ft. (125-334 sq.m.) Plot Area",₹ 27  - 72 Lac,23,,"Posted on 07th Jun, 2021 by Dealer"
572,,Residential land / Plot in Hi-Tech City,"1,503 sq.ft. (140 sq.m.) Plot Area","₹ 20.04 Lac₹ 1,333/sq.ft.",23,,"Posted on 22nd Jul, 2021 by Dealer"
573,,Residential land / Plot in Maheshwaram,"1,650 sq.ft. (153 sq.m.) Plot Area","₹ 20 Lac₹ 1,212/sq.ft.",23,,"Posted on 09th Jul, 2021 by Dealer"
574,Sh meadows,Residential land / Plot in Maheshwaram,200 sq.ft. (19 sq.m.) Plot Area,"₹ 32 Lac₹ 16,000/sq.ft.",23,,"Posted on 13th Jul, 2021 by Dealer"
575,Indu Fortune Fields The Annexe,3 BHK Residential Apartment in Kukatpally,"1,371 sq.ft. (127 sq.m.) Carpet Area","₹ 1.3 Cr₹ 9,482/sq.ft.",24,3 BHK2 Baths,"Posted on 23rd Jul, 2021 by Dealer"
576,SVS Oracle,3 BHK Residential Apartment in Narapally,"1,200 sq.ft. (111 sq.m.) Carpet Area","₹ 69.07 Lac₹ 4,500/sq.ft.",24,3 BHK3 Baths,"Posted on 31st Jul, 2021 by Dealer"
577,Kondapur,2 BHK Residential Apartment in Maruthi Nagar,910 sq.ft. (85 sq.m.) Super built-up Area,"₹ 55 Lac₹ 5,700/sq.ft.",24,2 BHK2 Baths,"Posted on 21st Jun, 2021 by Dealer"
578,"SritirumalaHills Colony , Gandhamguda. RangaReddy",2 Bedroom Independent House in Ranga Reddy,"1,305 sq.ft. (121 sq.m.) Plot Area","₹ 95 Lac₹ 7,279/sq.ft.",24,2 BHK3 Baths,"Posted on 29th Jul, 2021 by Owner"
579,,4 Bedroom Independent House in Kollur,"3,222 sq.ft. (299 sq.m.) Plot Area","₹ 3 Cr₹ 9,311/sq.ft.",24,4 BHK4 Baths,"Posted on 07th Jul, 2021 by RERA Registered Dealer"
580,on request,2 BHK Residential Apartment in OU Colony,"1,230 sq.ft. (114 sq.m.) Carpet Area","₹ 68.88 Lac₹ 5,600/sq.ft.",24,2 BHK2 Baths,"Posted on 26th Jul, 2021 by Dealer"
581,Venice City,3 Bedroom Independent House in Patancheru,"1,485 sq.ft. (138 sq.m.) Plot Area","₹ 1.83 Cr₹ 12,323/sq.ft.",24,3 BHK3 Baths,"Posted on 06th Aug, 2021 by RERA Registered Dealer"
582,URBANRISE SPRING IN THE AIR AMEENPUR HYDERABAD,3 BHK Residential Apartment in AMEENPUR,"1,039 sq.ft. (97 sq.m.) Carpet Area","₹ 48.83 Lac₹ 4,700/sq.ft.",24,3 BHK3 Baths,"Posted on 21st Jun, 2021 by Dealer"
583,Vessella Meadows,4 Bedroom Independent House in Narsingi,"3,750 sq.ft. (348 sq.m.) Built-up Area","₹ 6.6 Cr₹ 17,600/sq.ft.",24,4 BHK3 Baths,"Posted on 07th Aug, 2021 by Dealer"
584,IVR Hill Ridge Villas,5 Bedroom Independent House in Gachibowli,"5,200 sq.ft. (483 sq.m.) Plot Area","₹ 8.5 Cr₹ 16,346/sq.ft.",24,5 BHK5 Baths,"Posted on 03rd Aug, 2021 by Dealer"
585,Bachupally Apartment Project,3 BHK Residential Apartment in Miyapur,"1,353 sq.ft. (126 sq.m.) Built-up Area","₹ 62 Lac₹ 5,200/sq.ft.",24,3 BHK2 Baths,"Posted on 17th Jul, 2021 by RERA Registered Dealer"
586,Asrithas Jewels County,3 BHK Residential Apartment in Patancheru,"1,616 sq.ft. (150 sq.m.) Built-up Area","₹ 72.72 Lac₹ 4,500/sq.ft.",24,3 BHK3 Baths,"Posted on 02nd Aug, 2021 by Dealer"
587,,Residential property in Chaitanya Enclave,"3,500 sq.ft. (325 sq.m.) Plot Area","₹ 1.79 Cr₹ 5,124/sq.ft.",24,,"Posted on 29th Jun, 2021 by Dealer"
588,"Tirumala Gardens, Tirumalapur village, Rajapur",1 Bedroom Farm house in Tirumalapur village Rajapur,"10,890 sq.ft. (1012 sq.m.) Plot Area",₹ 55 Lac₹ 505/sq.ft.,24,1 BHK1 Bath,"Posted on 07th Aug, 2021 by Dealer"
589,,Residential land / Plot in Rudraram,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,24,,"Posted on 28th Jun, 2021 by Dealer"
590,,4 Bedroom Independent House in Kollur,"4,050 sq.ft. (376 sq.m.) Plot Area","₹ 4.25 Cr₹ 10,494/sq.ft.",24,4 BHK4 Baths,"Posted on 15th Jul, 2021 by RERA Registered Dealer"
591,,4 Bedroom Independent House in Kollur,"4,050 sq.ft. (376 sq.m.) Plot Area","₹ 3.5 Cr₹ 8,642/sq.ft.",24,4 BHK4 Baths,"Posted on 07th Jul, 2021 by RERA Registered Dealer"
592,,Residential land / Plot in Rudraram,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 38 Lac₹ 2,111/sq.ft.",24,,"Posted on 18th Jul, 2021 by Dealer"
593,Samooha Golden Gate project,Residential land / Plot in Yacharam,"3,375 sq.ft. (314 sq.m.) Plot Area","₹ 35.63 Lac₹ 1,056/sq.ft.",24,,"Posted on 08th Jul, 2021 by RERA Registered Dealer"
594,,Residential land / Plot in Mansanpally,"1,750 sq.ft. (163 sq.m.) Plot Area","₹ 20 Lac₹ 1,142/sq.ft.",24,,"Posted on 29th Jun, 2021 by Dealer"
595,EIPL La Paloma Villas,3 Bedroom Independent House in Mokila,"3,890 sq.ft. (361 sq.m.) Built-up Area","₹ 4.2 Cr₹ 10,800/sq.ft.",24,3 BHK4 Baths,"Posted on 03rd Aug, 2021 by Dealer"
596,6km from shamshabad bus stand,Residential land / Plot in Shamshabad,"14,157 sq.ft. (1315 sq.m.) Plot Area",₹ 70.78 Lac₹ 500/sq.ft.,24,,"Posted on 11th Jul, 2021 by Dealer"
597,ananda poe-Tree,3 BHK Residential Apartment in Narsingi,"1,584 sq.ft. (147 sq.m.) Super built-up Area","₹ 1.25 Cr₹ 7,891/sq.ft.",24,3 BHK3 Baths,"Posted on 02nd Jul, 2021 by Dealer"
598,,Residential property in Mouryas Ranga Prasad Avenue,"4,500 sq.ft. (418 sq.m.) Plot Area","₹ 2.3 Cr₹ 5,100/sq.ft.",24,,"Posted on 29th Jun, 2021 by Dealer"
599,vpmc,Residential land / Plot in Patancheru,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 55 Lac₹ 3,055/sq.ft.",24,,"Posted on 28th Jul, 2021 by Dealer"
600,,4 Bedroom Independent House in Krishna Reddy Pet,"3,000 sq.ft. (279 sq.m.) Plot Area","₹ 1.1 Cr₹ 3,666/sq.ft.",25,4 BHK4 Baths,"Posted on 30th Jun, 2021 by Dealer"
601,Visishta Aspire,Residential land / Plot in Bibinagar,"1,980 sq.ft. (184 sq.m.) Plot Area","₹ 24.2 Lac₹ 1,222/sq.ft.",25,,"Posted on 28th Jun, 2021 by Dealer"
602,Almasguda,3 Bedroom Independent House in Almas guda,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 93 Lac₹ 5,167/sq.ft.",25,3 BHK3 Baths,"Posted on 17th Jul, 2021 by RERA Registered Dealer"
603,,Residential land / Plot in Choutuppal,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 32 Lac₹ 1,777/sq.ft.",25,,"Posted on 20th Jun, 2021 by Dealer"
604,Anvita Sky Garden,3 BHK Residential Apartment in Kollur,"1,560 sq.ft. (145 sq.m.) Super built-up Area","₹ 70 Lac₹ 4,487/sq.ft.",25,3 BHK3 Baths,"Posted on 01st Aug, 2021 by Dealer"
605,Puppalguda,3 BHK Residential Apartment in Manikonda,"1,730 sq.ft. (161 sq.m.) Built-up Area","₹ 1.16 Cr₹ 6,699/sq.ft.",25,3 BHK3 Baths,"Posted on 18th Jul, 2021 by RERA Registered Dealer"
606,Krushi Defence Colony,3 Bedroom Independent House in Patancheru,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 1.3 Cr₹ 7,222/sq.ft.",25,3 BHK3 Baths,"Posted on 04th Aug, 2021 by Dealer"
607,,4 Bedroom Independent House in Kollur,"2,750 sq.ft. (255 sq.m.) Plot Area","₹ 2.35 Cr₹ 8,545/sq.ft.",25,4 BHK4 Baths,"Posted on 07th Aug, 2021 by Dealer"
608,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,350 sq.ft. (125 sq.m.) Plot Area","₹ 31.4 Lac₹ 2,326/sq.ft.",25,,"Posted on 14th Jul, 2021 by Dealer"
609,Visishta Aspire,Residential land / Plot in Bibinagar,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 33 Lac₹ 1,222/sq.ft.",25,,"Posted on 28th Jun, 2021 by Dealer"
610,Visishta Aspire,Residential land / Plot in Bibinagar,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 22 Lac₹ 1,222/sq.ft.",25,,"Posted on 28th Jun, 2021 by Dealer"
611,"Visishta Enclave,Bibinagar",Residential land / Plot in Bramhanapally,"1,620 sq.ft. (151 sq.m.) Plot Area",₹ 9.9 Lac₹ 611/sq.ft.,25,,"Posted on 24th Jun, 2021 by Dealer"
612,Visishta Aspire,Residential land / Plot in Annamptla,"2,520 sq.ft. (234 sq.m.) Plot Area","₹ 30.8 Lac₹ 1,222/sq.ft.",25,,"Posted on 24th Jun, 2021 by Dealer"
613,Gems Park,Residential land / Plot in Bibinagar,"1,647 sq.ft. (153 sq.m.) Plot Area","₹ 27.45 Lac₹ 1,667/sq.ft.",25,,"Posted on 24th Jun, 2021 by Dealer"
614,chandana gardens,Residential land / Plot in narayankhed,"5,445 sq.ft. (506 sq.m.) Plot Area",₹ 3.5 Lac₹ 64/sq.ft.,25,,"Posted on 28th Jul, 2021 by Dealer"
615,Kollur,4 Bedroom Independent House in Velimela,"5,500 sq.ft. (511 sq.m.) Built-up Area","₹ 3.21 Cr₹ 5,836/sq.ft.",25,4 BHK4 Baths,"Posted on 15th Jul, 2021 by RERA Registered Dealer"
616,SSV Krishna Heights,2 BHK Residential Apartment in Peerzadiguda,"1,190 sq.ft. (111 sq.m.) Built-up Area","₹ 53.55 Lac₹ 4,500/sq.ft.",25,2 BHK2 Baths,"Posted on 13th Jul, 2021 by Dealer"
617,A Residency,3 BHK Residential Apartment in Attapur,"1,700 sq.ft. (158 sq.m.) Carpet Area","₹ 1.25 Cr₹ 7,352/sq.ft.",25,3 BHK3 Baths,"Posted on 12th Jul, 2021 by Dealer"
618,Vaishnavi Triumph Villas,4 Bedroom Independent House in Kismathpur,"3,661 sq.ft. (340 sq.m.) Built-up Area","₹ 3.7 Cr₹ 10,106/sq.ft.",25,4 BHK5 Baths,"Posted on 14th Jul, 2021 by Dealer"
619,Asritha Group,"Residential land / Plot in Maheswarm,Tukkuguda","1,530 sq.ft. (142 sq.m.) Plot Area","₹ 30.6 Lac₹ 2,000/sq.ft.",25,,"Posted on 08th Aug, 2021 by Dealer"
620,Visishta Yadadri Meadows,Residential land / Plot in Yadagirigutta,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 25 Lac₹ 1,389/sq.ft.",25,,"Posted on 29th Jun, 2021 by Dealer"
621,Aaditris Empire,2 BHK Residential Apartment in Kollur,"1,250 sq.ft. (116 sq.m.) Super built-up Area","₹ 50 Lac₹ 4,000/sq.ft.",25,2 BHK2 Baths,"Posted on 07th Aug, 2021 by Dealer"
622,,Residential land / Plot in Medchal,"2,394 sq.ft. (222 sq.m.) Plot Area","₹ 79.8 Lac₹ 3,333/sq.ft.",25,,"Posted on 23rd Jul, 2021 by RERA Registered Dealer"
623,My Home Avatar,3 BHK Residential Apartment in Puppalaguda,"1,834 sq.ft. (170 sq.m.) Super built-up Area","₹ 1.75 Cr₹ 9,541/sq.ft.",25,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Dealer"
624,,Residential land / Plot in Tukkuguda,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,25,,"Posted on 28th Jul, 2021 by Dealer"
625,Theme Fort View,2 BHK Residential Apartment in Narsingi,"955-1,580 sq.ft. (89-147 sq.m.) Super built-up Area","₹ 42.97  - 71.1 Lac₹ 4,500/sq.ft.",26,2 BHK2 Baths,"Posted on 16th Jul, 2021 by Builder"
626,"SUMADHURA ACROPOLIS, NANAKRAMGUDA, HYDERABAD",3 BHK Residential Apartment in Hi-Tech City,"1,745 sq.ft. (162 sq.m.) Super built-up Area","₹ 1.49 Cr₹ 8,538/sq.ft.",26,3 BHK3 Baths,"Posted on 19th Jul, 2021 by Dealer"
627,,Residential property in Mominpet,"4,338 sq.ft. (403 sq.m.) Plot Area",₹ 14.46 Lac₹ 333/sq.ft.,26,,"Posted on 02nd Aug, 2021 by Dealer"
628,,Residential property in Sadashivpet,"6,300 sq.ft. (585 sq.m.) Plot Area",₹ 30 Lac₹ 476/sq.ft.,26,,Posted on Yesterday by Dealer
629,,Residential property in NAWABPET,"12,600 sq.ft. (1171 sq.m.) Plot Area",₹ 60 Lac₹ 476/sq.ft.,26,,Posted on Yesterday by Dealer
630,,5 Bedroom Independent House in Gandipet,"9,000 sq.ft. (836 sq.m.) Built-up Area","₹ 10 Cr₹ 11,111/sq.ft.",26,5 BHK6 Baths,"Posted on 03rd Aug, 2021 by RERA Registered Dealer"
631,"In The Woods, NSR",2 BHK Residential Apartment in Manchirevulu,"1,300 sq.ft. (121 sq.m.) Super built-up Area","₹ 52 Lac₹ 4,000/sq.ft.",26,2 BHK2 Baths,"Posted on 08th Jul, 2021 by RERA Registered Dealer"
632,On Request,3 Bedroom Independent House in Mokila,400 sq.ft. (37 sq.m.) Plot Area,"₹ 3.9 Cr₹ 97,500/sq.ft.",26,3 BHK4 Baths,"Posted on 20th Jul, 2021 by Dealer"
633,Legend Chimes,5 Bedroom Independent House in Kokapet,"4,000 sq.ft. (372 sq.m.) Plot Area","₹ 9 Cr₹ 22,500/sq.ft.",26,5 BHK4 Baths,"Posted on 15th Jun, 2021 by Dealer"
634,Hallmark Vicinia,2 BHK Residential Apartment in Narsingi,"1,280 sq.ft. (119 sq.m.) Super built-up Area","₹ 95 Lac₹ 7,421/sq.ft.",26,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Dealer"
635,Ready To Move HMDA Flats,2 BHK Residential Apartment in Bachupally,"1,602 sq.ft. (149 sq.m.) Built-up Area","₹ 72 Lac₹ 4,494/sq.ft.",26,2 BHK2 Baths,"Posted on 02nd Aug, 2021 by Dealer"
636,,Residential land / Plot in Rudraram,"1,422 sq.ft. (132 sq.m.) Plot Area","₹ 30.02 Lac₹ 2,111/sq.ft.",26,,"Posted on 05th Aug, 2021 by Dealer"
637,,Residential land / Plot in Malkapur,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,26,,"Posted on 28th Jul, 2021 by Dealer"
638,SRIAS Downtown,3 BHK Residential Apartment in Narsingi,"2,690 sq.ft. (250 sq.m.) Built-up Area","₹ 1.82 Cr₹ 6,765/sq.ft.",26,3 BHK3 Baths,"Posted on 22nd Jul, 2021 by Dealer"
639,Sahiti,2 BHK Residential Apartment in Kandlakoya,"1,290 sq.ft. (120 sq.m.) Built-up Area","₹ 34 Lac₹ 2,635/sq.ft.",26,2 BHK2 Baths,"Posted on 20th Jul, 2021 by Dealer"
640,BK infra,2 BHK Residential Apartment in Kompally,"1,150 sq.ft. (107 sq.m.) Carpet Area","₹ 51.75 Lac₹ 4,500/sq.ft.",26,2 BHK2 Baths,"Posted on 10th Jul, 2021 by Dealer"
641,"Pragna Hill County, Bhongir","Residential land / Plot in Beside Warangal Highway, Bhongir","1,620 sq.ft. (151 sq.m.) Plot Area","₹ 23.4 Lac₹ 1,444/sq.ft.",26,,"Posted on 23rd Jun, 2021 by Dealer"
642,Samooha Golden Gate Township,Residential land / Plot in Yacharam,"1,647 sq.ft. (153 sq.m.) Plot Area",₹ 14.64 Lac₹ 889/sq.ft.,26,,"Posted on 30th Jun, 2021 by Dealer"
643,,Residential land / Plot in Tukkuguda,"1,350 sq.ft. (125 sq.m.) Plot Area","₹ 22.5 Lac₹ 1,667/sq.ft.",26,,"Posted on 22nd Jul, 2021 by Dealer"
644,,Residential land / Plot in Tukkuguda,"2,340 sq.ft. (217 sq.m.) Plot Area",₹ 19.5 Lac₹ 833/sq.ft.,26,,"Posted on 16th Jul, 2021 by Dealer"
645,HMDA Plots,Residential land / Plot in Rudraram,"1,926 sq.ft. (179 sq.m.) Plot Area","₹ 40.66 Lac₹ 2,111/sq.ft.",26,,"Posted on 30th Jun, 2021 by Dealer"
646,ksrheights,2 BHK Residential Apartment in Attapur Ring Road,"1,283 sq.ft. (119 sq.m.) Carpet Area","₹ 71.85 Lac₹ 5,600/sq.ft.",26,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
647,,2 Bedroom Independent House in Srisailam Highway,"2,403 sq.ft. (223 sq.m.) Plot Area","₹ 75 Lac₹ 3,121/sq.ft.",26,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
648,ksrheights,2 BHK Residential Apartment in Langer House,"1,283 sq.ft. (119 sq.m.) Carpet Area","₹ 71.85 Lac₹ 5,600/sq.ft.",26,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
649,ksrheights,2 BHK Residential Apartment in Gumma Konda Colony,"1,230 sq.ft. (114 sq.m.) Carpet Area","₹ 68.88 Lac₹ 5,600/sq.ft.",26,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
650,ksrheights,2 BHK Residential Apartment in Attapur Ring Road,"1,230 sq.ft. (114 sq.m.) Carpet Area","₹ 68.88 Lac₹ 5,600/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
651,ksrheights,2 BHK Residential Apartment in Appa Junction,"1,230 sq.ft. (114 sq.m.) Carpet Area","₹ 68.88 Lac₹ 5,600/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
652,ksrheights,2 BHK Residential Apartment in Peeramcheru,"1,280 sq.ft. (119 sq.m.) Carpet Area","₹ 71.69 Lac₹ 5,600/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
653,ksrheights,2 BHK Residential Apartment in Attapur Ring Road,"1,280 sq.ft. (119 sq.m.) Carpet Area","₹ 71.68 Lac₹ 5,600/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
654,,2 Bedroom Independent House in Srisailam Highway,"2,403 sq.ft. (223 sq.m.) Plot Area","₹ 95 Lac₹ 3,953/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
655,SREE GRUHA,2 BHK Residential Apartment in pedda golconda,"1,150 sq.ft. (107 sq.m.) Carpet Area","₹ 34.5 Lac₹ 3,000/sq.ft.",27,2 BHK2 Baths,"Posted on 28th Jun, 2021 by Dealer"
656,SREE GRUHA,3 BHK Residential Apartment in Kongarakalan,"1,450 sq.ft. (135 sq.m.) Carpet Area","₹ 43.5 Lac₹ 3,000/sq.ft.",27,3 BHK3 Baths,"Posted on 28th Jun, 2021 by Dealer"
657,,Residential land / Plot in Sangareddy,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,27,,"Posted on 28th Jun, 2021 by Dealer"
658,Sri Sairam Towers,3 BHK Residential Apartment in Hafeezpet,"2,450 sq.ft. (228 sq.m.) Super built-up Area","₹ 1.57 Cr₹ 6,408/sq.ft.",27,3 BHK3 Baths,"Posted on 29th Jul, 2021 by RERA Registered Dealer"
659,Aliens Space Station,3 BHK Residential Apartment in Gachibowli,"1,569 sq.ft. (146 sq.m.) Carpet Area","₹ 87 Lac₹ 5,600/sq.ft.",27,3 BHK3 Baths,"Posted on 05th Aug, 2021 by RERA Registered Dealer"
660,,Residential land / Plot in Yacharam,"1,485 sq.ft. (138 sq.m.) Plot Area",₹ 14.02 Lac₹ 944/sq.ft.,27,,"Posted on 03rd Aug, 2021 by Dealer"
661,YBR Infras Ashraya Enclave,Residential land / Plot in Adibatla,"2,160 sq.ft. (201 sq.m.) Plot Area","₹ 43.2 Lac₹ 2,000/sq.ft.",27,,"Posted on 02nd Aug, 2021 by Dealer"
662,,Residential land / Plot in Kothur,"2,178 sq.ft. (202 sq.m.) Plot Area",₹ 15.75 Lac₹ 723/sq.ft.,27,,"Posted on 01st Aug, 2021 by Dealer"
663,nirvana country IBRAHIMPATNM ,Residential land / Plot in Ibrahimpatnam,"1,485 sq.ft. (138 sq.m.) Plot Area","₹ 26.4 Lac₹ 1,778/sq.ft.",27,,"Posted on 30th Jul, 2021 by Dealer"
664,,Residential land / Plot in Yadagirigutta,"1,800 sq.ft. (167 sq.m.) Plot Area",₹ 16 Lac₹ 889/sq.ft.,27,,"Posted on 01st Jul, 2021 by RERA Registered Dealer"
665,Aparna heights 1,3 BHK Residential Apartment in Goutami Enclave,"1,500 sq.ft. (139 sq.m.) Super built-up Area","₹ 1.25 Cr₹ 8,333/sq.ft.",27,3 BHK3 Baths,"Posted on 03rd Aug, 2021 by Dealer"
666,,Residential land / Plot in Yacharam,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,27,,Posted on Yesterday by RERA Registered Dealer
667,,Residential land / Plot in Adibatla,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,27,,Posted on Yesterday by RERA Registered Dealer
668,,Residential land / Plot in Ibrahimpatnam,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,27,,Posted on Yesterday by RERA Registered Dealer
669,Ramky One Symphony,2 BHK Residential Apartment in Patancheru,"1,065 sq.ft. (99 sq.m.) Carpet Area","₹ 54 Lac₹ 4,999/sq.ft.",27,2 BHK2 Baths,"Posted on 31st Jul, 2021 by RERA Registered Dealer"
670,"In the Woods, NSR",3 BHK Residential Apartment in Manchirevulu,"1,600 sq.ft. (149 sq.m.) Carpet Area","₹ 63.99 Lac₹ 3,999/sq.ft.",27,3 BHK3 Baths,"Posted on 08th Jul, 2021 by RERA Registered Dealer"
671,nul,3 BHK Residential Apartment in Manikonda,"1,870 sq.ft. (174 sq.m.) Carpet Area","₹ 1.25 Cr₹ 6,684/sq.ft.",27,3 BHK3 Baths,"Posted on 15th Jul, 2021 by RERA Registered Dealer"
672,villa,3 Bedroom Independent House in Kollur,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 2.65 Cr₹ 9,814/sq.ft.",27,3 BHK3 Baths,"Posted on 24th Jul, 2021 by Owner"
673,Prestige Tranquil,3 BHK Residential Apartment in Kokapet,"2,048 sq.ft. (190 sq.m.) Super built-up Area","₹ 1.49 Cr₹ 7,292/sq.ft.",27,3 BHK3 Baths,"Posted on 08th Jul, 2021 by RERA Registered Dealer"
674,Tripuras Green Alpha,3 BHK Residential Apartment in Tellapur,"1,485-2,030 sq.ft. (138-189 sq.m.) Super built-up Area","₹ 66.81  - 91.33 Lac₹ 4,499/sq.ft.",27,3 BHK3 Baths,"Posted on 23rd Jul, 2021 by Dealer"
675,,2 Bedroom Independent House in Kompally,"4,100 sq.ft. (381 sq.m.) Plot Area","₹ 2 Cr₹ 4,878/sq.ft.",28,2 BHK2 Baths,"Posted on 02nd Aug, 2021 by Dealer"
676,JAYA GROUP,Residential land / Plot in Kothur,150 sq.ft. (14 sq.m.) Plot Area,"₹ 10.5 Lac₹ 6,999/sq.ft.",28,,"Posted on 05th Aug, 2021 by Dealer"
